                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3317,                  4.482,                 1.4503,                0.80172,                0.42125,                0.61692,                0.45246,                0.93724,                      2,                 1.1559,             8.5174e-05,             8.5174e-05,             8.5174e-05
                      2,                 1.1036,                 2.7594,                 1.2396,                0.85888,                0.88563,                 0.9592,                0.72374,                0.88918,                 1.1405,                 1.1573,             0.00016938,             0.00016938,             0.00016938
                      3,                 1.0392,                 1.9791,                 1.1789,                0.95549,                0.97632,                0.99108,                0.75423,                 0.8736,                0.79215,                 1.1254,             0.00025246,             0.00025246,             0.00025246
                      4,                 1.0036,                 1.6329,                 1.1468,                0.97535,                0.95329,                0.99163,                0.76239,                0.85152,                0.90946,                 1.0929,             0.00025093,             0.00025093,             0.00025093
                      5,                0.99067,                 1.4592,                 1.1374,                0.95179,                 0.9885,                0.98403,                0.75613,                0.86337,                 1.0633,                 1.0978,             0.00025093,             0.00025093,             0.00025093
                      6,                0.97505,                 1.3375,                 1.1208,                0.99081,                0.99584,                0.99247,                0.77226,                0.82701,                0.69069,                 1.0752,             0.00024924,             0.00024924,             0.00024924
                      7,                0.94565,                 1.2304,                 1.1003,                0.99276,                0.99558,                0.99165,                0.78144,                0.81432,                0.64312,                 1.0662,             0.00024755,             0.00024755,             0.00024755
                      8,                0.92488,                 1.1053,                 1.0889,                0.98133,                0.99697,                0.99189,                0.77878,                0.82675,                0.62411,                 1.0679,             0.00024586,             0.00024586,             0.00024586
                      9,                0.93682,                 1.0461,                 1.0946,                0.99295,                0.99697,                0.99176,                0.77232,                0.83111,                0.56466,                 1.0721,             0.00024417,             0.00024417,             0.00024417
                     10,                0.90875,                0.97041,                  1.084,                0.99394,                 0.9969,                0.99177,                0.78337,                0.81377,                0.49998,                 1.0556,             0.00024248,             0.00024248,             0.00024248
                     11,                0.89512,                0.91548,                 1.0722,                0.99012,                0.99638,                0.99256,                0.79316,                0.77406,                0.49501,                 1.0355,             0.00024079,             0.00024079,             0.00024079
                     12,                0.89605,                0.86483,                 1.0732,                0.99236,                0.99748,                0.99245,                0.79241,                0.78071,                0.46329,                 1.0389,              0.0002391,              0.0002391,              0.0002391
                     13,                0.88457,                0.83077,                 1.0712,                0.98799,                 0.9977,                0.99252,                0.78964,                0.78681,                0.48171,                 1.0429,             0.00023741,             0.00023741,             0.00023741
                     14,                0.88353,                0.80017,                 1.0655,                0.98912,                0.99742,                0.99261,                0.78472,                0.80224,                0.45423,                 1.0478,             0.00023572,             0.00023572,             0.00023572
                     15,                0.88258,                0.77033,                  1.055,                0.99203,                0.99676,                0.99202,                0.79126,                0.78379,                0.46237,                 1.0341,             0.00023404,             0.00023404,             0.00023404
                     16,                0.86844,                0.73408,                 1.0538,                0.99242,                 0.9977,                0.99203,                0.79396,                0.77544,                 0.4485,                 1.0335,             0.00023235,             0.00023235,             0.00023235
                     17,                0.87489,                0.70863,                 1.0548,                0.99304,                0.99668,                0.99199,                0.78839,                0.79324,                0.43051,                 1.0401,             0.00023066,             0.00023066,             0.00023066
                     18,                0.86661,                0.68249,                 1.0524,                0.99073,                0.99763,                0.99322,                0.79303,                0.78724,                0.41912,                 1.0428,             0.00022897,             0.00022897,             0.00022897
                     19,                0.85507,                 0.6686,                 1.0465,                0.99392,                 0.9977,                0.99347,                0.79267,                 0.7795,                0.41934,                 1.0326,             0.00022728,             0.00022728,             0.00022728
                     20,                0.85589,                0.65722,                 1.0532,                0.98697,                0.99725,                0.99317,                0.79619,                0.77908,                0.40355,                 1.0325,             0.00022559,             0.00022559,             0.00022559
                     21,                0.84829,                0.64305,                 1.0446,                0.99296,                0.99755,                 0.9927,                0.79334,                 0.7928,                0.39706,                 1.0381,              0.0002239,              0.0002239,              0.0002239
                     22,                0.84426,                0.62632,                 1.0335,                0.99345,                 0.9977,                0.99394,                0.79735,                0.77474,                0.39438,                 1.0273,             0.00022221,             0.00022221,             0.00022221
