epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-157.75,1.37642,4.75573,1.46176,0.77515,0.21122,0.40789,0.30855,0.90356,2.83978,1.08835,8.47012e-05,8.47012e-05,8.47012e-05
2,49.8275,1.07673,3.21774,1.21225,0.75585,0.82061,0.91297,0.69103,0.92747,1.20726,1.17598,0.000168351,0.000168351,0.000168351
3,73.4002,1.04129,2.12475,1.18438,0.83665,0.93121,0.97455,0.72963,0.94004,0.86069,1.1557,0.000250312,0.000250312,0.000250312
4,97.142,1.01729,1.65218,1.13693,0.90491,0.93633,0.97942,0.75209,0.89352,0.73118,1.11774,0.000248397,0.000248397,0.000248397
5,121.103,0.96436,1.44204,1.11598,0.94818,0.97331,0.98085,0.75579,0.87853,0.67655,1.09661,0.000245862,0.000245862,0.000245862
6,145.25,0.96369,1.31917,1.10794,0.85561,0.98068,0.97633,0.75626,0.89658,0.66717,1.116,0.000243328,0.000243328,0.000243328
7,169.491,0.93002,1.17384,1.08161,0.96555,0.97049,0.98202,0.77999,0.83909,0.597,1.07732,0.000240794,0.000240794,0.000240794
8,193.82,0.91543,1.089,1.08316,0.94646,0.97437,0.98133,0.78124,0.84107,0.58557,1.06916,0.000238259,0.000238259,0.000238259
9,34.0431,0.89537,1.02165,1.0633,0.96169,0.9711,0.98202,0.78159,0.85031,0.53309,1.06269,0.000235725,0.000235725,0.000235725
10,241.66,0.88909,0.93567,1.05342,0.95719,0.98033,0.97922,0.7887,0.80234,0.51046,1.04342,0.00023319,0.00023319,0.00023319
11,265.379,0.87967,0.884,1.04704,0.94902,0.98412,0.97497,0.77823,0.82086,0.50904,1.04594,0.000230656,0.000230656,0.000230656
12,105.127,0.87211,0.84377,1.04029,0.95067,0.97663,0.97541,0.77289,0.82773,0.49981,1.05,0.000228122,0.000228122,0.000228122
13,312.4,0.87517,0.8225,1.04805,0.95986,0.98488,0.97922,0.78468,0.80767,0.48446,1.04297,0.000225587,0.000225587,0.000225587
14,152.121,0.86558,0.78129,1.04816,0.94478,0.98256,0.9812,0.78797,0.80446,0.48359,1.04154,0.000223053,0.000223053,0.000223053
15,359.13,0.85586,0.74387,1.0375,0.96381,0.98294,0.97637,0.76187,0.86092,0.46957,1.06808,0.000220518,0.000220518,0.000220518
16,198.826,0.86112,0.72192,1.04392,0.9722,0.98344,0.98065,0.79074,0.81351,0.44532,1.04199,0.000217984,0.000217984,0.000217984
17,222.382,0.84787,0.69397,1.03005,0.96847,0.98374,0.98329,0.7846,0.83743,0.46234,1.05295,0.00021545,0.00021545,0.00021545
18,429.448,0.85202,0.67305,1.03369,0.96214,0.98648,0.97916,0.78432,0.80338,0.44852,1.04554,0.000212915,0.000212915,0.000212915
19,452.984,0.83583,0.64585,1.0216,0.96453,0.98417,0.97497,0.78024,0.80979,0.43478,1.04268,0.000210381,0.000210381,0.000210381
20,476.38,0.84697,0.64116,1.03359,0.96243,0.98626,0.98043,0.7866,0.7943,0.43778,1.03174,0.000207846,0.000207846,0.000207846
21,500.239,0.81925,0.61208,1.02031,0.94172,0.98566,0.98065,0.79801,0.77992,0.4254,1.01674,0.000205312,0.000205312,0.000205312
22,524.002,0.82574,0.60341,1.01496,0.96512,0.9831,0.98406,0.78619,0.82182,0.4417,1.04951,0.000202778,0.000202778,0.000202778
